"L","R","F","M","C"
51.16,19,45,145724,0.696498655
103.52,18,111,145458,0.697522309
95.55,25,47,82382,1.230913428
98.03,1,84,75766,1.337146213
108.13,1,134,116627,0.867424696
96.13,3,46,130782,0.771173327
112.97,6,96,135009,0.746628299
38.9,94,16,107690,0.936013465
105.29,11,83,133367,0.755460796
102.9,3,93,109943,0.91579564
32.97,6,13,159016,0.632307692
17.58,2,36,113253,0.886428351
95.1,11,73,123568,0.810458452
26.55,1,98,76759,1.303309449
94.84,3,116,140571,0.710483528
107.16,17,61,81113,1.230116011
44.39,13,85,70965,1.401901923
82.48,10,48,68459,1.453157218
77.45,6,104,137698,0.721752894
94.39,12,57,84129,1.179321043
95.58,9,43,130985,0.757415506
37.19,12,101,117880,0.841051069
77.03,2,69,141164,0.702125684
77,5,71,70069,1.413737887
62.81,5,124,118049,0.837548052
76.48,18,86,89195,1.10819519
81.29,12,82,120536,0.818666539
36.77,1,122,137879,0.714470804
21.94,20,18,136876,0.718332944
109.74,22,39,70792,1.387449853
44.97,4,83,112709,0.870657357
81.81,1,81,99888,0.982403492
66.26,34,66,111545,0.8786453
108.48,41,46,71622,1.365195471
79,3,75,131146,0.745084105
110.1,79,69,126180,0.774192107
54.9,10,45,68136,1.432941764
80.9,4,36,66829,1.460493648
111.94,1,106,130691,0.746489276
45.55,19,64,66612,1.464381643
30.97,6,61,132797,0.734098361
19.16,1,67,123556,0.788739195
95.39,30,52,125190,0.778333174
36.32,13,21,138363,0.704172358
30.42,9,100,116315,0.8364076
72.32,1,119,100147,0.971327249
109.16,20,79,74503,1.305487564
55.13,4,101,118160,0.822947613
102.71,5,116,129478,0.750052132
35.71,85,42,74368,1.303695272
107.71,3,82,126149,0.767930622
101.77,11,96,134194,0.72174598
67.1,11,79,124218,0.779597965
96.45,4,133,143216,0.675632052
61.29,15,73,134897,0.717086814
96.1,1,58,122349,0.790434004
66.26,135,19,130168,0.742307172
14.35,1,62,76356,1.265360941
76.45,5,46,67761,1.425841856
33.94,16,38,66550,1.450518407
44.32,23,65,112320,0.858959758
15.77,13,15,99645,0.968166892
46.13,2,93,127824,0.754275019
65.35,6,13,147883,0.651163082
75.9,4,60,118514,0.811934708
42.19,2,93,117159,0.82114127
28.19,15,83,134851,0.712543548
21.26,16,44,108388,0.886273019
102.74,8,62,112125,0.855358305
40.68,2,89,78410,1.221743017
109.1,2,78,121245,0.789605839
83.45,26,39,70142,1.3639718
54.58,14,101,102834,0.929938153
50.94,17,44,65769,1.452790676
55.16,32,31,69453,1.375394871
56.52,7,75,122158,0.781846052
81.61,18,93,106705,0.894763601
47.97,20,54,71496,1.33526505
102.35,18,73,76834,1.242032954
107.81,2,70,98334,0.969874916
72.58,14,36,102876,0.926531747
74.68,5,45,67936,1.401278409
65.48,14,97,66431,1.432786199
53.35,10,107,132823,0.715139321
72.9,8,123,111589,0.850722921
31.81,29,38,67361,1.408719882
83.39,13,98,129338,0.733567861
79.77,7,33,65345,1.451830132
64.74,6,39,68043,1.393603751
42.35,8,72,73670,1.286411022
41.55,6,83,126476,0.749031121
108.84,4,66,121756,0.777650711
72.13,37,46,120983,0.78231049
112.61,9,65,102504,0.923260068
82.68,5,99,123899,0.763360156
60.74,4,54,64453,1.463962112
84.61,16,65,107397,0.878302187
94.23,243,27,100143,0.941445133
61.97,21,36,72186,1.302530408
31.39,20,61,71752,1.306106868
88.68,32,49,65717,1.425973949
69.48,3,46,71260,1.314534381
72.97,6,103,125149,0.746901054
81.45,73,52,76072,1.228696235
18.52,9,36,68799,1.35804096
56.35,12,37,66530,1.402335037
100.94,14,100,64900,1.4373
78.45,7,51,87589,1.06409081
87.19,12,69,125139,0.742781227
21.16,8,82,109233,0.850807631
17.35,17,13,95577,0.971737343
37.19,25,65,74458,1.246913025
23.42,5,45,74389,1.247410235
85.16,2,118,137477,0.67473221
70.77,11,75,127816,0.725720724
34.35,1,56,117444,0.789488352
84.61,6,73,128233,0.720501275
41.45,17,66,82682,1.116894004
32.94,6,21,139888,0.660121097
68.32,4,78,114244,0.807724519
69.97,2,90,122350,0.753979567
112.87,8,80,120362,0.766244247
25.29,85,20,121103,0.761441087
110.87,31,80,117968,0.781219907
110.42,34,95,104659,0.87833354
89.19,2,99,117708,0.780552044
84.55,17,90,128188,0.716619964
80.97,1,33,63453,1.447113927
105.97,12,73,110537,0.830436144
94.26,18,127,124500,0.737284819
32.9,158,83,114627,0.800316069
27.19,8,27,90731,1.010241814
48.19,1,97,149015,0.614937825
93.97,7,77,104572,0.875997495
51.35,65,19,86805,1.053728357
86.55,41,13,125853,0.72670131
108.45,1,139,129859,0.703798197
104.74,6,86,113677,0.803908618
106.26,2,82,123788,0.737626911
93.84,31,41,91797,0.9943289
52.65,2,72,120888,0.755011912
108.39,11,82,116502,0.782969391
24.23,4,83,66764,1.36549308
99.29,14,92,103985,0.875138818
93.61,25,49,98732,0.920499534
112.65,10,74,126274,0.719323851
45.55,4,78,106195,0.854748717
78.23,9,49,105720,0.858548997
54.74,29,44,69154,1.311839518
84.97,13,26,103395,0.875781421
112.65,2,85,124022,0.729566125
40.71,5,49,62116,1.454720362
103.1,5,69,105755,0.854199991
16.65,8,53,114734,0.787266634
65.71,67,11,134552,0.670909091
96.03,10,55,117957,0.76517731
111.29,14,39,63230,1.427421952
64.81,34,18,124386,0.725114241
59.42,22,63,137264,0.656078433
50.94,181,23,169931,0.529890073
32.68,13,55,103869,0.866817337
23.97,24,36,112436,0.799957309
96.26,8,43,69158,1.299686515
48.97,2,59,78595,1.142706025
23.97,4,69,98267,0.913754872
30.58,27,77,149556,0.600361671
66.35,21,75,113205,0.793122565
102.26,14,89,98446,0.911670561
35.1,1,51,71594,1.251371344
80.97,65,15,84976,1.053199256
94.71,10,51,121900,0.733716489
106.06,13,63,84110,1.062971704
104.39,3,67,114895,0.77813186
105.61,58,35,102698,0.869739722
56,3,31,112940,0.789749247
27.97,4,63,131617,0.677294726
82.74,1,95,112565,0.791891174
99.42,13,97,111809,0.795848724
86.23,9,67,124788,0.712584784
99.19,2,101,119673,0.742826118
48.77,21,60,131743,0.673196678
38.68,38,12,121632,0.728333333
43.39,3,48,63061,1.404469958
35.35,3,52,62006,1.427972616
54.84,9,11,80261,1.09967805
96.81,2,92,108930,0.810163224
96.1,1,67,116848,0.754195707
88.26,6,47,68720,1.280616269
92,46,109,144111,0.61047623
95.52,12,82,135759,0.646682872
93.84,21,68,107075,0.819026757
25.35,16,79,113061,0.775295725
23.1,11,74,119277,0.734588563
94.16,113,31,59830,1.463755474
22.16,8,34,87326,1.001857522
86.52,3,74,126760,0.690051909
20.13,7,7,85624,1.021428571
60.45,93,36,118329,0.739067177
20.65,9,43,71368,1.224596738
51,36,106,128750,0.678582369
66.94,3,89,106167,0.82264602
48.13,104,62,89752,0.972563954
53.23,11,36,63184,1.380619144
23.13,12,51,118422,0.73627451
97.58,5,69,119146,0.731558088
110.65,1,84,90564,0.962312287
99.58,5,68,109665,0.794431222
83.94,3,20,113068,0.769414069
38.58,89,27,106399,0.816711529
77.03,2,64,114718,0.757229554
107.48,7,113,147384,0.589203374
77.39,2,40,60149,1.443029477
98.39,2,80,138420,0.624723523
67.81,41,53,113194,0.76250826
54.97,1,109,123276,0.700098478
44.42,4,70,112890,0.764457525
52.42,9,35,62808,1.37325484
27.58,29,34,65969,1.307116221
62.55,27,88,110192,0.782405619
53.32,10,101,104916,0.821220119
85.97,15,44,123585,0.697107982
81.97,1,57,124821,0.690196361
43.42,11,43,70258,1.225645051
40.1,4,57,101773,0.846069291
77.19,11,82,121881,0.705870234
54.42,23,69,94964,0.903869993
49.35,44,63,102801,0.833366699
23.23,230,12,84488,1.013213001
41.45,17,69,99590,0.859349031
80.45,4,88,92775,0.922312153
24.9,3,59,133334,0.641461668
95.65,10,40,133403,0.640861525
63.32,86,13,113580,0.752468392
106.84,11,68,119701,0.712072581
40.06,3,69,119959,0.710441151
22.35,4,38,63749,1.335886053
96.71,18,97,95578,0.890442047
108,34,13,96745,0.879156546
39.58,3,84,124877,0.680674344
72.19,79,33,60566,1.400179804
78.23,25,61,129994,0.652295875
81.45,17,87,114443,0.740124516
65.58,13,17,105518,0.80243475
98.52,3,62,104351,0.810345085
76.81,2,79,102926,0.820983134
72,85,58,94188,0.896582367
75.68,48,26,126699,0.666378424
31.29,2,82,120396,0.700985
89.48,7,94,110837,0.761320588
22.61,15,43,88958,0.947841903
107.06,9,49,82626,1.019422095
79.61,11,32,87009,0.967861715
35.97,4,82,119037,0.706153885
43.81,22,62,101808,0.824876139
22.65,18,67,95683,0.877645872
56.55,30,81,103927,0.807743897
104.77,7,86,105952,0.791347497
83.94,102,6,73392,1.141666667
41.81,69,9,91224,0.917777778
54.68,4,63,102466,0.81701218
112.45,66,38,124410,0.672776465
44.97,2,40,63801,1.311356405
101.35,9,73,120191,0.695825062
85.32,15,71,107032,0.78021629
53.45,1,74,86299,0.967311788
23.35,103,45,83894,0.995006913
70.13,1,127,131400,0.635267428
77.16,4,86,130146,0.641211101
55,29,58,114424,0.728744669
34.42,3,69,101139,0.82410712
93.1,43,38,78846,1.056982345
66.81,19,78,115093,0.723989122
99.03,68,16,96627,0.862176721
83.97,163,37,58302,1.428155295
80.71,5,76,116724,0.713011977
62.61,2,44,67601,1.230681203
108.65,3,99,87395,0.951464844
26.58,14,51,61100,1.357835843
66.71,5,66,114482,0.722954875
92.65,5,77,94084,0.879383317
81.1,2,106,104750,0.78942673
22.39,1,94,130742,0.632198528
34.13,27,89,109773,0.752621956
22.19,37,11,101908,0.810053381
74.65,17,19,114608,0.719314533
35.29,7,57,87522,0.941829369
35.84,18,65,110131,0.747842479
21.97,76,25,58213,1.413954787
101.03,26,51,57992,1.418412885
24.97,19,54,77707,1.057823619
66.42,46,13,118818,0.691331701
24.29,7,72,65267,1.25802427
66.32,2,93,118300,0.693748774
46.39,27,31,60318,1.35912265
87.81,4,78,99566,0.822873672
70.35,4,96,123933,0.661020551
67.35,20,58,99952,0.81945874
21.81,8,85,115207,0.710912445
94.03,5,65,92722,0.883145532
109.97,4,85,124859,0.65577155
39.1,88,14,79047,1.035521272
30.74,2,60,118246,0.691508973
88.77,8,39,60512,1.350910398
35.84,61,36,75213,1.086663476
107.68,46,17,109583,0.745799622
53,21,104,93309,0.875784758
95.39,15,50,125199,0.652698823
72.26,12,41,108363,0.753658537
19.45,195,20,77590,1.052316793
78.71,7,68,86064,0.948622421
83.97,2,99,105598,0.77280422
40.13,12,98,120774,0.675360094
111.97,8,89,106510,0.764573373
66.84,71,35,105725,0.768377962
86.74,6,78,105745,0.767752423
48.52,4,75,119758,0.677779021
95.35,15,56,57828,1.402678633
26.9,2,29,81848,0.99101884
27.9,45,55,100558,0.806229241
88.52,18,26,70104,1.156431302
82.77,5,66,94599,0.856638865
96.13,5,67,112610,0.718858183
44.26,17,65,99061,0.81700528
44.13,9,76,82442,0.981291089
82.42,4,38,58995,1.370945673
36.52,17,51,113913,0.710000088
94.55,3,71,109398,0.738039452
19.19,9,67,64594,1.248345512
112.35,25,61,108008,0.746502852
68.61,3,44,56219,1.434023907
54.35,1,120,101087,0.797076083
41.71,1,101,94342,0.853658074
44.23,8,34,58541,1.375456688
90.39,9,70,116485,0.689642615
58.48,28,34,90814,0.883529412
22.19,35,31,100130,0.801290323
25.68,62,44,102276,0.784301009
45.77,27,43,60630,1.322550717
50.65,34,62,104969,0.762393469
71.13,26,35,57698,1.386811155
75.45,4,51,92818,0.861574479
24.35,3,59,118571,0.673916894
30.13,6,54,64470,1.238703118
26.58,23,55,84601,0.942580466
27.77,69,34,84892,0.938940654
61.42,2,58,107038,0.744657411
88.45,3,83,95665,0.832975069
98.87,3,39,64329,1.238633431
107.35,18,65,102141,0.779959566
66.52,10,44,83527,0.953680726
88.81,1,64,124573,0.639421062
25.1,67,50,64381,1.237046489
34.35,83,27,55673,1.42926697
109.97,9,40,77198,1.030612192
104.13,2,72,107745,0.738133649
81.42,41,47,57158,1.391171839
99.77,1,70,112030,0.709738017
38.03,113,51,107440,0.739495067
94.19,1,52,98327,0.807594964
21.16,2,57,99434,0.798412817
102.87,2,56,87321,0.908338086
51.58,13,32,60308,1.3146624
98.03,1,65,94255,0.841129807
52.77,30,16,127164,0.623378315
46.16,8,81,110402,0.717648956
72.26,101,44,104867,0.755509741
38.19,11,96,107452,0.737285951
14.13,75,37,77098,1.025352668
36.97,10,63,108377,0.729203429
52.29,21,81,116556,0.677642764
51.32,13,82,127934,0.617297044
84.48,2,38,62200,1.269493087
97.61,38,25,63767,1.238245644
59.9,70,50,58964,1.338983448
60.03,6,66,95599,0.825197125
67.97,2,75,96092,0.820139033
35.97,12,70,119084,0.661306893
72.58,3,93,67658,1.163014573
80.52,2,97,98027,0.801951809
41.97,20,72,100623,0.780282142
48.52,5,65,105089,0.746562628
102.35,60,45,57094,1.373917224
70.1,10,27,53927,1.453638993
60.97,2,81,99333,0.789152044
37.45,8,74,123708,0.633542051
102.71,2,81,96407,0.812844814
21.52,63,43,87048,0.900012981
42.77,62,13,74307,1.054007025
50.74,2,68,87657,0.893445703
33.06,3,51,105499,0.742125613
56.03,36,65,94928,0.824223306
81.61,12,61,95828,0.816480465
102.97,3,34,54155,1.441951251
102.61,1,106,73656,1.059797165
51.29,10,68,117406,0.664639116
36.9,5,69,59262,1.315850461
23.81,9,31,54938,1.418710546
48.26,4,85,123956,0.628632821
112.68,9,85,115698,0.673153382
21.16,21,44,122665,0.634257612
108.61,2,82,84793,0.917503332
22.45,20,78,92800,0.837629526
46,288,35,98033,0.792854447
40.45,23,64,113219,0.686384706
47.35,3,49,106738,0.727940377
26.1,143,9,110088,0.705555556
95.65,105,44,128750,0.603258718
77.48,3,86,119842,0.647968909
94.61,7,45,101385,0.765687133
94.26,30,78,113329,0.684981426
34.84,14,59,108263,0.71581593
79.19,1,98,99128,0.781575034
27.32,12,87,104670,0.739837298
92.39,39,25,118355,0.654261755
38.29,23,48,88016,0.879216392
29.26,13,53,59280,1.304834683
112.19,10,31,82721,0.934580215
87.29,12,61,102513,0.754131281
46.77,2,54,87327,0.885256908
78.84,2,68,83233,0.928783415
48.29,5,80,110571,0.698741804
81.71,2,70,91869,0.839639269
43.55,2,61,71334,1.081109008
100.23,9,59,96238,0.801115464
25.48,3,71,108053,0.713502263
17.9,67,9,75093,1.026311241
47.81,33,43,63261,1.218127915
85.48,12,65,81718,0.942705034
97.52,1,118,113715,0.677334828
43.35,27,31,57054,1.348767483
37.81,34,13,123460,0.623107079
91.55,11,105,100538,0.764620343
92.35,108,54,97929,0.784982998
55.77,4,39,53274,1.441390547
66.39,2,67,83561,0.918858199
95.94,24,43,93927,0.81727746
74.61,3,78,91540,0.838375901
106.1,1,77,119849,0.640188153
51.74,2,33,60387,1.270434862
84.74,25,67,107438,0.71315326
65.03,1,34,52371,1.462471215
50,82,40,104027,0.735624021
49.1,34,47,57546,1.329559135
92.16,14,49,98276,0.778446009
102.71,3,39,106909,0.71552526
49.77,8,47,102319,0.747021277
65.19,4,72,97247,0.785089206
71.81,113,30,55190,1.382804856
41.45,123,21,54220,1.407333272
71.26,1,62,88473,0.862353147
40.39,3,31,95165,0.801548679
